type,N,run,suffix
rs,4,26,[51753| 73054| 85507| 38552| 74260| 34389| 39167| 52333| 37768| 45280| 59994| 1439| 92303| 104173| 8774| 44594| 7186| 75610| 42810| 57758| 24996| 63529| 72329| 36058| 17937]
rs,4,27,[24890| 50814| 93035| 115108| 118113| 92199| 98564| 111944| 39303| 443| 79387| 4401| 103904| 71493| 15777| 85658| 10922| 43619| 107240| 10111| 7686| 69860| 11804| 94579| 39422]
rs,4,28,[1365| 13891| 40103| 3481| 29010| 44608| 10831| 57488| 46653| 83424| 28124| 26325| 61067| 88096| 64494| 41065| 74911| 48179| 6862| 75071| 115754| 54765| 29552| 295| 65146]
rs,4,29,[88348| 28615| 57711| 32286| 66364| 74240| 102391| 15919| 30086| 36383| 29138| 99842| 108980| 121195| 51463| 83043| 32741| 1399| 82064| 108364| 30965| 86358| 23887| 13785| 55627]
rs,4,30,[48098| 112333| 10394| 71270| 39932| 39792| 6692| 122028| 61696| 122664| 33749| 54100| 21798| 74180| 25643| 69948| 118134| 54378| 59277| 60401| 37228| 29022| 113176| 70575| 15620]
rs,5,1,[49426| 48956| 33885| 1504| 63301| 6261| 57005| 13818| 14931| 70667| 17111| 105292| 20644| 86466| 972| 57962| 87386| 49326| 57585| 1648| 96934| 17889| 8766| 46092| 41345]
rs,5,2,[75739| 65288| 1115| 33905| 20976| 125693| 28392| 2824| 14179| 100079| 98534| 19518| 81097| 84113| 17994| 38792| 48649| 41697| 5897| 31577| 41873| 35781| 103397| 73477| 118837]
rs,5,3,[86037| 44865| 78928| 71727| 109067| 1541| 7080| 94641| 8838| 127573| 10097| 40458| 62031| 121476| 39971| 81067| 993| 60755| 95185| 48655| 64922| 56678| 43389| 19288| 28504]
rs,5,4,[20981| 42004| 19804| 64866| 31443| 88492| 7217| 15114| 92724| 85004| 81818| 64599| 106715| 62460| 819| 52338| 99850| 2936| 21222| 28074| 58512| 49373| 77342| 67866| 24530]
rs,5,5,[118586| 53094| 21494| 79549| 15888| 24149| 23371| 79188| 37484| 97199| 55743| 6712| 44512| 119498| 8738| 61059| 55976| 37518| 444| 106862| 63875| 26961| 42771| 29828| 47676]
rs,5,6,[59927| 126373| 56521| 39507| 30125| 18141| 79080| 57174| 71732| 25674| 92125| 6541| 30170| 93058| 90455| 92417| 96864| 61393| 67187| 52569| 13846| 86884| 12819| 92303| 24938]
rs,5,7,[81355| 72398| 99716| 88077| 1317| 6397| 26317| 1531| 43921| 6684| 88777| 49954| 55071| 50007| 3622| 27844| 52535| 61519| 70717| 80824| 83248| 23643| 17667| 80364| 113344]
rs,5,8,[90902| 26769| 2345| 65731| 19963| 116266| 33876| 737| 122807| 112643| 49837| 17535| 96070| 78368| 26411| 55591| 29005| 7811| 82082| 36771| 94489| 50818| 5134| 75928| 78739]
rs,5,9,[11137| 85377| 67619| 20817| 14697| 93911| 726| 60559| 82296| 60577| 112468| 99795| 74597| 126924| 88970| 18239| 57124| 87662| 17339| 22128| 44328| 26983| 46275| 23089| 7465]
rs,5,10,[3642| 56949| 101265| 52125| 5305| 62147| 111496| 20919| 59726| 18321| 10508| 37449| 66142| 44201| 8372| 52069| 8078| 91453| 78297| 16456| 62184| 26549| 59408| 94869| 20308]
rs,5,11,[48197| 48997| 26423| 7950| 120408| 74317| 4622| 14501| 95171| 74848| 14943| 87642| 43482| 91521| 126471| 85776| 34190| 9990| 59024| 56013| 101043| 112954| 67698| 4572| 15929]
