run,iteration,fitness_max,fitness_min,fitness_median,fitness_mean,fitness_std,sure_count
1,0,1.1217466635571327e-06,7.948255387191239e-08,3.3717722658366256e-07,3.820113647634571e-07,2.4005751697586675e-07,0
1,1,1.8485949340174557e-06,1.2021263273709337e-07,4.911236146654119e-07,6.033196200405655e-07,4.0156092495635676e-07,0
1,2,5.710378900403157e-06,1.1025406365661183e-07,1.0265716809954029e-06,1.4967118886488606e-06,1.5577111298625823e-06,0
1,3,9.336526090919506e-06,1.9518249416705657e-07,2.6668806185625726e-06,3.321888698337716e-06,2.4081821266008774e-06,0
1,4,1.0561913768469822e-05,1.322681214332988e-06,4.627132511814125e-06,4.941100087307859e-06,2.3468644485546974e-06,0
1,5,1.4084756912779994e-05,1.7830852812039666e-06,5.961899205431109e-06,6.134589966677595e-06,3.305529844510602e-06,0
1,6,5.791630610474385e-05,4.307631513711385e-07,7.388671292574145e-06,9.680164112069178e-06,1.0687442227208521e-05,0
1,7,7.04711492289789e-05,2.4323526304215193e-06,1.1545941561053041e-05,1.583393350301776e-05,1.6172112736967392e-05,0
1,8,7.047592953313142e-05,1.2894621477244073e-06,1.7303515051025897e-05,2.3367918402072974e-05,1.939939465955831e-05,0
1,9,7.047675171634182e-05,3.6504950458038365e-06,2.5665100110927597e-05,2.811119702528231e-05,1.8336741050006822e-05,0
1,10,7.047592953313142e-05,2.4920334453781834e-06,2.0537838281597942e-05,3.16510304401163e-05,2.5134786483249627e-05,0
1,11,7.047592953313142e-05,1.0196901030212757e-06,1.9081582649960183e-05,2.9644726964761503e-05,2.3275628336705267e-05,0
1,12,7.047942926874384e-05,9.093820381167461e-07,3.485353590804152e-05,3.4860098821809515e-05,2.4282122467411682e-05,0
1,13,0.00013138880603946745,1.7683465785012231e-06,2.0940686226822436e-05,3.678134817164391e-05,3.375863889232278e-05,0
1,14,0.00013139787188265473,3.774008973778109e-06,4.587401417666115e-05,5.4661235481034964e-05,4.076602272107266e-05,0
1,15,0.00019112259906250983,2.3723330286884448e-06,3.8996728108031675e-05,6.192164437379688e-05,5.241673716227524e-05,0
1,16,0.00023037912615109235,2.742367314567673e-06,3.247336280765012e-05,6.82437457726337e-05,6.698747893096879e-05,0
1,17,0.0002939995320048183,4.722255653177854e-06,5.432691250462085e-05,9.610778943169862e-05,8.291303674923256e-05,0
1,18,0.000314556818921119,1.5056697293402976e-06,6.030338772688992e-05,0.00010108159040100873,9.639029303798452e-05,0
1,19,0.00044417151366360486,8.74952911544824e-06,7.350424857577309e-05,0.00012674546451307833,0.00012062192399753258,0
1,20,0.0006498720613308251,4.354125849204138e-06,7.006853411439806e-05,0.00014015640772413462,0.0001613345229998231,0
1,21,0.0009259112412109971,1.8288618548467639e-06,0.0001059391870512627,0.00022075916058383882,0.00024195993319153786,0
1,22,0.003609416075050831,5.244722615316277e-06,0.00013216085790190846,0.0003999767650384456,0.000703073397744447,0
1,23,0.003609728068113327,1.0016597116191406e-05,0.00022533211449626833,0.0005579293356277049,0.0007238989928737283,0
1,24,0.003609728068113327,1.496780532761477e-05,0.0006231960724107921,0.0010015019215643406,0.0010801824973896146,0
1,25,0.00410022959113121,5.452030563901644e-06,0.00021757156355306506,0.0008092449279502034,0.0012473720125854015,0
1,26,0.004100127145648003,6.604485861316789e-06,0.0006034355028532445,0.001231675618328154,0.001210800837725401,0
1,27,0.00410022959113121,3.964906863984652e-05,0.0008879113593138754,0.001562484772875905,0.0014739836333319545,0
1,28,0.00410022959113121,2.884945160985808e-06,0.000990961561910808,0.0015583379426971078,0.0014591420767828822,0
1,29,0.004676592070609331,4.76062041343539e-06,0.0015790368197485805,0.001832699286751449,0.0015514466213062406,0
1,30,0.005472448654472828,1.335425167781068e-05,0.0024498794227838516,0.0022731756325811148,0.0018103199545294046,0
1,31,0.007849759422242641,2.2354779503075406e-05,0.0023546703159809113,0.002491813385859132,0.0018899133428931236,0
1,32,0.009111269377171993,1.1983689546468668e-05,0.002550027333199978,0.0027101703453809023,0.0021604157518595457,0
1,33,0.008063782937824726,1.595299363543745e-05,0.0017427087295800447,0.002392368856817484,0.002316829515621066,0
1,34,0.00966522004455328,8.096296369330958e-06,0.0027354832272976637,0.0038408259861171246,0.003003116697072983,0
1,35,0.010236093774437904,0.00012542192416731268,0.004749681800603867,0.005090915597975254,0.0031045228242874146,0
1,36,0.010236093774437904,2.3009795313555514e-06,0.005143835209310055,0.005143536254763603,0.0032834382727742195,0
1,37,0.010235795751214027,1.2487403182603884e-05,0.002877854509279132,0.0032995129004120827,0.0027349393349140882,0
1,38,0.010236093774437904,3.6418547097127885e-05,0.0023344187065958977,0.0032402207143604755,0.0032234617974609137,0
1,39,0.01210177130997181,5.558902103075525e-06,0.003082412062212825,0.004208228550851345,0.003688379656523466,0
1,40,0.01210177130997181,1.4458853911492042e-05,0.0029669124633073807,0.0047875358723104,0.004347630310803652,0
1,41,0.013201373629271984,3.165848829667084e-05,0.003064502729102969,0.004563559778034687,0.004117700736969709,0
1,42,0.013201373629271984,2.7530548322829418e-05,0.005666583776473999,0.005581550300121307,0.00407699029892683,0
1,43,0.012102733366191387,2.5893175916280597e-05,0.005458126775920391,0.005652075167745352,0.0034822411835193634,0
1,44,0.012102685868740082,6.500139988929732e-06,0.0029542529955506325,0.004443645942956209,0.003871834371238947,0
1,45,0.012102733366191387,9.277708159061149e-06,0.005585917271673679,0.0055246721021831036,0.0041570281609892845,0
1,46,0.012102685868740082,2.7714108910004143e-06,0.004076449666172266,0.005131699610501528,0.004210904706269503,0
1,47,0.012890131212770939,2.343243977520615e-05,0.0031834274996072054,0.0051543316803872585,0.004719254560768604,0
1,48,0.012890131212770939,2.6883306418312714e-05,0.004548099357634783,0.005434895399957895,0.00438824575394392,0
1,49,0.012889589183032513,3.7963109207339585e-05,0.0033628116361796856,0.005427615717053413,0.004841140937060118,0
1,50,0.012890131212770939,6.751911132596433e-05,0.005212250631302595,0.005955889821052551,0.004057224374264479,0
1,51,0.015856390818953514,8.522701682522893e-05,0.005736819468438625,0.006799768190830946,0.004770820494741201,0
1,52,0.015857120975852013,5.694050923921168e-05,0.005546762607991695,0.006283766124397516,0.004409614484757185,0
1,53,0.01585729420185089,9.187462637783028e-06,0.006094387732446194,0.006282323505729437,0.004330198746174574,0
1,54,0.01585729420185089,1.4512186680804007e-05,0.006953524891287088,0.006326806265860796,0.004890663083642721,0
1,55,0.015857120975852013,1.470840402362228e-06,0.00615333579480648,0.007233063690364361,0.005000642035156488,0
1,56,0.01591305434703827,0.0003424637543503195,0.0067688534036278725,0.007653954904526472,0.005176779814064503,0
1,57,0.017064396291971207,4.384139538160525e-05,0.007776905782520771,0.007795773912221193,0.005173833575099707,0
1,58,0.01731864921748638,8.693229756318033e-05,0.0062387180514633656,0.007314098067581654,0.0057224188931286335,0
1,59,0.01731864921748638,0.0005698833847418427,0.006864891387522221,0.007516349665820599,0.005276666022837162,0
1,60,0.017862388864159584,2.487230631231796e-05,0.005947176367044449,0.007406065706163645,0.005075981840491295,0
1,61,0.017863290384411812,0.00010989090515067801,0.0064019798301160336,0.008003447204828262,0.005807819776237011,0
1,62,0.017863290384411812,8.543873991584405e-05,0.004710142966359854,0.0072855595499277115,0.00619525508955121,0
1,63,0.019627917557954788,9.194510494126007e-05,0.006500561721622944,0.00813077762722969,0.006039035972207785,0
1,64,0.021309593692421913,1.5144065400818363e-05,0.007202448323369026,0.00907310750335455,0.006686880718916655,0
1,65,0.021310968324542046,4.588748561218381e-05,0.008674298413097858,0.009375770576298237,0.007111405488103628,0
1,66,0.022456448525190353,0.001818578690290451,0.010204932652413845,0.010812489315867424,0.006542410235852003,0
1,67,0.02245813049376011,0.0002409595181234181,0.011043558828532696,0.011702829971909523,0.007414895575493574,0
1,68,0.02245813049376011,0.00040173018351197243,0.009640569798648357,0.009781956672668457,0.007168950513005257,0
1,69,0.02245813049376011,2.1244739400572143e-05,0.007395298685878515,0.010052980855107307,0.00771123543381691,0
1,70,0.02245813049376011,6.719729299220489e-06,0.011826551519334316,0.012458066456019878,0.008185521699488163,0
1,71,0.022456448525190353,4.1596224036766216e-05,0.014061866328120232,0.01340548787266016,0.00807302538305521,0
1,72,0.02877894788980484,4.8422331019537523e-05,0.01146209891885519,0.011802313849329948,0.008397433906793594,0
1,73,0.02877894788980484,9.984416101360694e-05,0.008874698542058468,0.01191083062440157,0.008958552964031696,0
1,74,0.02877894788980484,2.481515912222676e-05,0.012211114168167114,0.012037033215165138,0.008335416205227375,0
1,75,0.028779540210962296,0.00012137730664107949,0.004942524246871471,0.00911167822778225,0.007993912324309349,0
1,76,0.02877894788980484,6.451711215049727e-06,0.004789556842297316,0.007280851248651743,0.008518039248883724,0
1,77,0.02878032997250557,2.5907600502250716e-05,0.005905831698328257,0.008790086023509502,0.008094403892755508,0
1,78,0.030119802802801132,1.6517607946298085e-05,0.008331195451319218,0.01059672050178051,0.00815513078123331,0
1,79,0.030119802802801132,6.969876267248765e-05,0.010890524834394455,0.01312318816781044,0.008870410732924938,0
1,80,0.030017003417015076,3.0324614272103645e-05,0.011141437105834484,0.01370259840041399,0.009307616390287876,0
1,81,0.03001558780670166,1.5258520761562977e-05,0.013555632904171944,0.014765739440917969,0.010097402147948742,0
1,82,0.03001558780670166,6.299003143794835e-05,0.015487275086343288,0.014861935749650002,0.009705116041004658,0
1,83,0.03001558780670166,8.80348636655981e-07,0.006231908220797777,0.010160817764699459,0.009576075710356236,0
1,84,0.03001558780670166,1.4099208783591166e-05,0.011136543937027454,0.013083811849355698,0.009471560828387737,0
1,85,0.03001570701599121,7.69577527535148e-05,0.015687406063079834,0.016207175329327583,0.010647950693964958,0
1,86,0.030017003417015076,8.836736014927737e-06,0.012219239957630634,0.01337356772273779,0.010128101333975792,0
1,87,0.030017003417015076,6.560504698427394e-05,0.01558165717869997,0.016387877985835075,0.010586529970169067,0
1,88,0.030017003417015076,4.3049658415839076e-05,0.01936086267232895,0.017812997102737427,0.010782543569803238,0
1,89,0.030815819278359413,0.00011804491805378348,0.013071026653051376,0.015585421584546566,0.010790449567139149,0
1,90,0.030814481899142265,0.0010383999906480312,0.0165022574365139,0.016982439905405045,0.007986758835613728,0
1,91,0.030814481899142265,2.2633568732999265e-05,0.012235268019139767,0.013616974465548992,0.009684734046459198,0
1,92,0.030814481899142265,0.0001234573865076527,0.012866373173892498,0.013558657839894295,0.010524249635636806,0
1,93,0.030815035104751587,1.4599901078327093e-05,0.012149922549724579,0.011616816744208336,0.009038896299898624,0
