run,iteration,fitness,sure_generated
1,0,3.2083935508353534e-08,0
2,0,4.774999950996062e-08,0
3,0,3.502952594658382e-08,0
4,0,4.060336067368553e-08,0
5,0,3.8048408868007755e-08,0
6,0,1.561951101791692e-08,0
7,0,2.742158500268488e-08,0
8,0,1.5069197445427562e-08,0
9,0,2.8327791667948077e-08,0
10,0,3.775520340809635e-08,0
1,1,3.604352372121866e-08,0
2,1,3.3706744062556027e-08,0
3,1,3.473215670624086e-08,0
4,1,2.6168299527284944e-08,0
5,1,3.216668744698836e-07,0
6,1,1.5174489220726173e-08,0
7,1,3.8624065723524836e-08,0
8,1,1.7318990686021607e-08,0
9,1,3.153420635726434e-08,0
10,1,4.0521118904734976e-08,0
1,2,3.082208976934453e-08,0
2,2,5.240184464128106e-08,0
3,2,3.4395284842503315e-08,0
4,2,2.314250657775574e-08,0
5,2,4.4297543411175866e-08,0
6,2,1.8588727002111227e-08,0
7,2,1.745591049484574e-08,0
8,2,7.285742231744052e-09,0
9,2,2.6063412761345717e-08,0
10,2,3.0994421251762105e-08,0
1,3,3.989991625985567e-08,0
2,3,4.413462306729343e-08,0
3,3,2.7018154824531848e-08,0
4,3,2.9354120911762038e-08,0
5,3,6.023452101544535e-07,0
6,3,2.1054230359141002e-08,0
7,3,4.211878135151892e-08,0
8,3,1.443625929908876e-08,0
9,3,2.083378269901459e-08,0
10,3,3.167550133298391e-08,0
1,4,4.3666556592825145e-08,0
2,4,3.798162495627366e-08,0
3,4,3.715825158678854e-08,0
4,4,4.5375948332093685e-08,0
5,4,2.0864868588432728e-07,0
6,4,2.551235489534065e-08,0
7,4,3.487284061520768e-08,0
8,4,1.688267836641444e-08,0
9,4,2.5382346890978624e-08,0
10,4,3.147392391156245e-08,0
1,5,3.705502038542363e-08,0
2,5,1.9544165397178404e-08,0
3,5,2.8183020361893796e-08,0
4,5,4.77641464158296e-08,0
5,5,6.509712875413243e-07,0
6,5,3.377900270606915e-08,0
7,5,3.6756070187493606e-08,0
8,5,1.618089484622942e-08,0
9,5,3.178603691367243e-08,0
10,5,3.074762489063687e-08,0
1,6,5.0909804372167855e-08,0
2,6,7.44323997992069e-08,0
3,6,3.060604925053667e-08,0
4,6,3.7238084615864864e-08,0
5,6,2.7403979174778215e-07,0
6,6,5.0078657665153514e-08,0
7,6,3.060774744767514e-08,0
8,6,1.6684694514879084e-08,0
9,6,4.694071975563929e-08,0
10,6,2.705351143106327e-08,0
1,7,3.50299984575031e-08,0
2,7,2.6911560979669957e-08,0
3,7,4.421001875698494e-08,0
4,7,3.165142814509636e-08,0
5,7,3.733327957888832e-08,0
6,7,4.899933969682024e-08,0
7,7,4.885356119643802e-08,0
8,7,1.1209992045735362e-08,0
9,7,2.7055419238308787e-08,0
10,7,2.7273244995740242e-08,0
1,8,4.214237492305983e-08,0
2,8,5.717053497278357e-08,0
3,8,5.516561429885769e-08,0
4,8,4.782536677794269e-08,0
5,8,2.0853699211897947e-08,0
6,8,2.9002682921941414e-08,0
7,8,4.8107700933996966e-08,0
8,8,1.2203775767716252e-08,0
9,8,5.207449049748902e-08,0
10,8,2.79346838993888e-08,0
1,9,2.411448996042509e-08,0
2,9,5.1057334360393725e-08,0
3,9,4.655355212435097e-08,0
4,9,5.2583924770033263e-08,0
5,9,1.9379467630642466e-07,0
6,9,4.88438622880949e-08,0
7,9,4.307734258190976e-08,0
