run,iteration,fitness,sure_generated
7,28,5.442950268275126e-08,0
8,28,9.48493905639225e-08,0
9,28,9.199960260275475e-08,0
10,28,3.8513263689310406e-08,0
1,29,1.7693844256427838e-07,0
2,29,1.6301537186791393e-07,0
3,29,6.438757083060409e-08,0
4,29,4.556913069109214e-08,0
5,29,9.620572427593288e-08,0
6,29,6.061628710085643e-08,0
7,29,1.709083505829767e-07,0
8,29,5.948966119717625e-08,0
9,29,4.397122310706436e-08,0
10,29,3.350317001604708e-08,0
1,30,1.523211210496811e-07,0
2,30,1.2983264241483994e-07,0
3,30,5.203410324838842e-08,0
4,30,6.139841701724436e-08,0
5,30,5.864014696044251e-08,0
6,30,2.696617151798364e-08,0
7,30,3.458988828697329e-07,0
8,30,9.791283162030595e-08,0
9,30,8.032183984596486e-08,0
10,30,3.4715508689942e-08,0
1,31,3.613689898429584e-07,0
2,31,2.997578292252001e-07,0
3,31,7.573864735377356e-08,0
4,31,3.250879743177393e-08,0
5,31,4.806400255574772e-08,0
6,31,8.255251771061012e-08,0
7,31,1.4495613243070693e-07,0
8,31,7.782968225455988e-08,0
9,31,1.1152685175375154e-07,0
10,31,2.65393733656083e-08,0
1,32,3.3512316122141783e-07,0
2,32,1.573022103684707e-07,0
3,32,5.592898943973523e-08,0
4,32,1.4380832169536006e-07,0
5,32,6.153388198981702e-08,0
6,32,5.7833673849927436e-08,0
7,32,2.5823212013165175e-07,0
8,32,4.973954759179833e-08,0
9,32,7.033606408413107e-08,0
10,32,3.0026757968926177e-08,0
1,33,4.556673260935895e-08,0
2,33,1.5803186670382274e-07,0
3,33,5.689079074500114e-08,0
4,33,7.86591414225768e-08,0
5,33,1.0800302163715969e-07,0
6,33,6.899555415884606e-08,0
7,33,9.50894047946349e-08,0
8,33,7.054313755361363e-08,0
9,33,6.470963143101471e-08,0
10,33,2.2765084040088368e-08,0
1,34,1.9834482145597576e-07,0
2,34,1.0401279126881491e-07,0
3,34,6.188641066273703e-08,0
4,34,1.9934778094921057e-07,0
5,34,7.757063968938382e-08,0
6,34,5.15625231400918e-08,0
7,34,9.942419154640447e-08,0
8,34,7.991364014969804e-08,0
9,34,4.0511203280857444e-08,0
10,34,7.1403960077987e-08,0
1,35,5.998956709163394e-08,0
2,35,2.537104251132405e-07,0
3,35,7.671276591736387e-08,0
4,35,9.0989928480667e-08,0
5,35,7.711400229482024e-08,0
6,35,9.121156807623265e-08,0
7,35,1.657224402151769e-07,0
8,35,7.161996506965806e-08,0
9,35,6.786846284967396e-08,0
10,35,9.776072573686179e-08,0
1,36,2.1617474033064354e-07,0
2,36,5.417468074142562e-08,0
3,36,5.2346326384622444e-08,0
4,36,8.033493514858492e-08,0
5,36,7.230332954577534e-08,0
6,36,3.937852710578227e-08,0
7,36,2.7355315523891477e-07,0
8,36,4.2630954766309515e-08,0
9,36,6.969563770553577e-08,0
10,36,1.7199002400047902e-07,0
1,37,2.5121138946815336e-07,0
2,37,1.9231822534493404e-07,0
3,37,5.210853970538665e-08,0
4,37,2.841435673417436e-07,0
5,37,4.3012285289023566e-08,0
6,37,1.0785166182358807e-07,0
7,37,2.073478384545524e-07,0
8,37,6.330280655220122e-08,0
9,37,8.391803163476652e-08,0
10,37,1.1599178861843029e-07,0
1,38,1.3635082041218993e-07,0
2,38,1.6856027684752917e-07,0
3,38,4.1530221039920434e-08,0
4,38,1.3206152971179108e-07,0
5,38,3.686650273948544e-08,0
6,38,5.330072383458173e-08,0
7,38,1.2431050322447845e-07,0
8,38,4.150526322632686e-08,0
9,38,5.219462906325134e-08,0
10,38,1.0281019058311358e-07,0
1,39,6.609829483750218e-07,0
2,39,3.838097484276659e-08,0
3,39,5.186038265492243e-08,0
4,39,1.0917942461219354e-07,0
5,39,6.190870038835783e-08,0
6,39,9.021448477142258e-08,0
7,39,1.899244495007224e-07,0
8,39,1.403001306243823e-07,0
9,39,8.357283576287955e-08,0
10,39,4.453735513720858e-08,0
1,40,5.262283480078622e-07,0
2,40,3.6885052168145194e-07,0
3,40,4.2715043946373044e-08,0
4,40,5.086944909749036e-08,0
5,40,5.720634987937956e-08,0
6,40,4.3631935398025234e-08,0
7,40,4.320497737353435e-07,0
8,40,5.333704322652011e-08,0
9,40,2.3310297692091808e-08,0
10,40,1.1086947182548101e-07,0
1,41,4.3701146523744683e-07,0
2,41,1.9793995420513966e-07,0
3,41,1.010220742614365e-07,0
4,41,8.366385628733042e-08,0
5,41,8.202528789524877e-08,0
6,41,7.036495475176707e-08,0
7,41,1.996065606135744e-07,0
8,41,1.50370013329848e-07,0
9,41,8.880864754701179e-08,0
10,41,4.615690230025393e-08,0
1,42,2.3177290131570771e-07,0
2,42,7.119306815184245e-07,0
3,42,1.3355258943192894e-07,0
4,42,5.6474345200285825e-08,0
5,42,8.602593482009979e-08,0
6,42,5.992024654233319e-08,0
7,42,1.8083025565829303e-07,0
8,42,8.203666368444829e-08,0
9,42,7.421910908078644e-08,0
10,42,5.57965691427853e-08,0
1,43,2.688456390842475e-07,0
2,43,5.171801831238554e-07,0
3,43,9.559422409211038e-08,0
4,43,5.441991746124586e-08,0
5,43,6.530798657422565e-08,0
6,43,1.1473922256755031e-07,0
7,43,2.7508554012456443e-07,0
8,43,9.145269075361284e-08,0
9,43,5.378327117000481e-08,0
10,43,2.329377366550034e-07,0
1,44,5.713795658834897e-08,0
2,44,9.86007876235817e-07,0
3,44,8.371594617528899e-08,0
4,44,9.336759632105895e-08,0
5,44,3.3129811782828256e-08,0
6,44,1.011681405316267e-07,0
7,44,3.2436929586765473e-07,0
8,44,1.109317153691336e-07,0
9,44,5.110873502189861e-08,0
10,44,3.423517682676902e-07,0
1,45,1.1060789972816565e-07,0
2,45,9.694097258261536e-08,0
3,45,8.079364022250957e-08,0
4,45,1.0907622538525175e-07,0
5,45,4.878967629906583e-08,0
6,45,6.225042170626693e-08,0
7,45,1.4328098529858835e-07,0
8,45,7.190547535174119e-08,0
9,45,3.56608040874562e-08,0
10,45,1.3756934436059964e-07,0
1,46,8.183106388059969e-07,0
2,46,1.0331717703593313e-07,0
3,46,7.339017571439399e-08,0
4,46,4.739039383139243e-08,0
5,46,7.115253453093828e-08,0
6,46,6.81133300872716e-08,0
7,46,3.15025829422666e-07,0
8,46,6.083166681492003e-08,0
9,46,8.465778478239372e-08,0
10,46,1.1724448967243006e-07,0
1,47,4.3464336840770557e-07,0
2,47,5.520053392160662e-08,0
3,47,1.1120557985577761e-07,0
4,47,1.1432731383820283e-07,0
5,47,6.032804122924063e-08,0
6,47,3.777133628091178e-08,0
7,47,1.2865505993886472e-07,0
8,47,1.0980117792769306e-07,0
9,47,1.0884539847211272e-07,0
10,47,1.203259643034471e-07,0
1,48,3.8180624528649787e-07,0
2,48,1.3833174250521552e-07,0
3,48,7.075617247664923e-08,0
4,48,4.541014675396582e-08,0
5,48,1.2722044573365565e-07,0
6,48,6.361084103900794e-08,0
7,48,8.609151791461045e-08,0
8,48,5.95990350404918e-08,0
9,48,7.321413875160943e-08,0
10,48,8.46581400537616e-08,0
1,49,5.594267236119776e-07,0
2,49,2.1617863694700645e-06,0
3,49,4.0403925538612384e-08,0
4,49,3.7154702425823416e-08,0
5,49,8.666782491673075e-08,0
6,49,1.1420361545333435e-07,0
7,49,2.2232556773360557e-07,0
8,49,1.00242218081803e-07,0
9,49,6.031969235209544e-08,0
10,49,4.933393142891873e-07,0
1,50,1.453189071298766e-07,0
2,50,4.237165995846226e-08,0
3,50,8.101151394157569e-08,0
4,50,2.1556442675318976e-07,0
5,50,1.0152463403301226e-07,0
6,50,4.975638390192216e-08,0
7,50,2.600972095478937e-07,0
8,50,1.0650930448719009e-07,0
9,50,1.2558211892610416e-07,0
10,50,1.95452869888868e-07,0
1,51,4.4894900952385797e-07,0
2,51,2.4376786313951015e-06,0
3,51,7.305744986751961e-08,0
4,51,9.508349307907338e-08,0
5,51,9.7886982075579e-08,0
6,51,7.93930112763519e-08,0
7,51,2.5831158723121916e-07,0
8,51,8.970889098236512e-08,0
9,51,7.96546615333682e-08,0
10,51,2.418799454062537e-07,0
1,52,7.563359076812048e-07,0
2,52,1.7900592865771614e-06,0
3,52,8.76441816899387e-08,0
4,52,6.175066147307007e-08,0
5,52,2.9734927409208467e-08,0
6,52,9.05762291836254e-08,0
7,52,1.6339052422154055e-07,0
8,52,9.55668042479374e-08,0
9,52,6.15564914596689e-08,0
10,52,2.407535362181079e-07,0
1,53,3.4483323929634935e-07,0
2,53,4.164108304394176e-06,0
3,53,3.976018447815477e-08,0
4,53,2.1458719245970315e-08,0
5,53,5.419529358619002e-08,0
6,53,6.097252480685711e-08,0
7,53,1.1769170527031747e-07,0
8,53,1.1485735029737043e-07,0
9,53,1.1039932701351063e-07,0
10,53,4.823771178052993e-07,0
1,54,6.819859663664829e-07,0
2,54,4.87454656195041e-07,0
3,54,1.4197607356436492e-07,0
4,54,4.27186037654792e-08,0
5,54,5.3044843184579804e-08,0
6,54,5.430466032407821e-08,0
7,54,1.9679885099321837e-07,0
8,54,8.184446897985254e-08,0
9,54,7.888867514793674e-08,0
10,54,7.738042029359349e-08,0
1,55,8.454640010313597e-08,0
2,55,2.6881102712650318e-06,0
3,55,8.833726639068118e-08,0
4,55,1.1417465373142477e-07,0
5,55,8.593960387770494e-08,0
6,55,3.841662987724703e-08,0
7,55,7.373724741910337e-08,0
8,55,1.3080253324915248e-07,0
9,55,8.313438826235142e-08,0
10,55,3.8400131074922683e-07,0
1,56,9.357095791528991e-07,0
2,56,1.3131071909810998e-06,0
3,56,6.365177540601508e-08,0
4,56,1.300176961649413e-07,0
5,56,9.855557436821982e-08,0
6,56,5.1276661139354474e-08,0
7,56,1.0858416743531052e-07,0
8,56,9.164993031163249e-08,0
9,56,1.165440792760819e-07,0
10,56,1.8255815348311444e-07,0
1,57,2.3573623764150398e-07,0
2,57,2.040179197138059e-06,0
3,57,7.612528207801006e-08,0
4,57,4.702922140609189e-08,0
5,57,4.398921404913381e-08,0
6,57,5.917805978583601e-08,0
7,57,1.788835106708575e-07,0
8,57,1.0638761693826382e-07,0
9,57,7.22479498449502e-08,0
10,57,3.1790096954864566e-07,0
1,58,3.112972706276196e-07,0
2,58,1.5020523278508335e-06,0
3,58,4.3311491282338466e-08,0
4,58,1.2464298038139532e-07,0
5,58,6.323165990806956e-08,0
6,58,1.108833345142557e-07,0
7,58,1.1862252335959056e-07,0
8,58,6.85145451484459e-08,0
9,58,5.978269967954475e-08,0
10,58,8.278138352579845e-07,0
1,59,6.148433584485247e-08,0
2,59,1.2436946406069183e-07,0
3,59,1.2942197713528003e-07,0
4,59,5.209013664853046e-08,0
5,59,3.777646995217765e-08,0
6,59,8.494534853298319e-08,0
7,59,3.240305943563726e-07,0
8,59,5.441494721480922e-08,0
9,59,2.0142204348871928e-08,0
10,59,9.093530195514177e-08,0
1,60,3.416284926061053e-07,0
2,60,2.6501104457565816e-06,0
3,60,8.49987884521397e-08,0
