run,iteration,fitness,sure_generated
1,0,1.868897392398594e-08,0
2,0,2.8723382783368834e-08,0
3,0,2.1422652096703132e-08,0
4,0,1.7846506494834102e-08,0
5,0,2.338587634653777e-08,0
6,0,1.8117425781838392e-08,0
7,0,1.8996932027448565e-08,0
8,0,8.00625130636945e-08,0
9,0,1.262347382180451e-08,0
10,0,1.901498158929371e-08,0
1,1,1.5680102549708863e-08,0
2,1,2.0025906266596394e-08,0
3,1,1.356800094498567e-08,0
4,1,1.0786221693592779e-08,0
5,1,2.6558220511674335e-08,0
6,1,1.1060563132048173e-08,0
7,1,1.8798054668422992e-08,0
8,1,1.0689264229313267e-07,0
9,1,2.841068535985869e-08,0
10,1,1.6598676211287966e-08,0
1,2,2.1717767140216893e-08,0
2,2,3.481615351574874e-08,0
3,2,2.184540015548464e-08,0
4,2,2.0494699271011996e-08,0
5,2,2.471976756623917e-08,0
6,2,2.3915413649433503e-08,0
7,2,1.4751710075699975e-08,0
8,2,1.0690780527511379e-07,0
9,2,2.2018765477582747e-08,0
10,2,2.292365586242795e-08,0
1,3,3.927085856503254e-08,0
2,3,2.319631953184853e-08,0
3,3,3.4014572491969375e-08,0
4,3,2.885169614330607e-08,0
5,3,2.5974236095294145e-08,0
6,3,1.2453141629009679e-08,0
7,3,2.5182950835755946e-08,0
8,3,5.799019220376067e-08,0
9,3,2.5804670400475516e-08,0
10,3,2.4646897855973293e-08,0
1,4,3.088298683451285e-08,0
2,4,3.435356177305948e-08,0
3,4,3.731453901423265e-08,0
4,4,1.1437776059608495e-08,0
5,4,3.210094234873395e-08,0
6,4,2.679613508860257e-08,0
7,4,3.4977318819073844e-08,0
8,4,5.6624628541612765e-08,0
9,4,6.584798040165651e-09,0
10,4,1.962794016208136e-08,0
1,5,3.794865932604807e-08,0
2,5,5.568417904555645e-08,0
3,5,3.212938182173275e-08,0
4,5,3.27439231284643e-08,0
5,5,2.1834743790805078e-08,0
6,5,3.975620899154819e-08,0
7,5,2.914741159543155e-08,0
8,5,4.8826095166987216e-08,0
9,5,1.4375580725811687e-08,0
10,5,1.2909246116521444e-08,0
1,6,4.1506105219468736e-08,0
2,6,3.319628305575861e-08,0
3,6,6.667009699867776e-08,0
4,6,3.41984929264072e-08,0
5,6,5.20343910181964e-08,0
6,6,4.358630434353472e-08,0
7,6,5.0396781858808026e-08,0
8,6,9.67867705981007e-08,0
9,6,5.434215921695795e-08,0
10,6,2.194811621336612e-08,0
1,7,5.576860928613314e-08,0
2,7,5.967485350311108e-08,0
3,7,2.1570711439267143e-08,0
4,7,3.4851112218348135e-08,0
