run,iteration,fitness_max,fitness_min,fitness_median,fitness_mean,fitness_std,sure_count
1,17,7.43339660402853e-06,8.949196228513756e-08,2.718401901802281e-06,3.11032590616378e-06,2.468078719175537e-06,0
1,18,9.78281423158478e-06,2.623715431582241e-07,2.3238076209963765e-06,3.3619330679357518e-06,2.843115908035543e-06,0
1,19,9.783047062228434e-06,2.8809199648094364e-07,3.7216816508589545e-06,4.271662419341737e-06,3.405383040444576e-06,0
1,20,1.4046128853806295e-05,1.2367820545478025e-07,4.979862751497421e-06,5.521178536582738e-06,3.6632986848417204e-06,0
1,21,1.748352042341139e-05,4.6473675752167765e-07,6.254432719288161e-06,6.781695901736384e-06,4.692834863817552e-06,0
1,22,1.7481752365711145e-05,9.411522228219837e-07,7.758733772789128e-06,8.120265192701481e-06,5.224880624155048e-06,0
1,23,1.8029057173407637e-05,3.7181854395385017e-07,5.160284217708977e-06,7.132541668397607e-06,5.751020125899231e-06,0
1,24,1.99313089979114e-05,3.6416454918253294e-07,3.3620453905314207e-06,7.1399144871975295e-06,6.8620015554188285e-06,0
1,25,2.1129229935468175e-05,2.0546298173940158e-07,3.981753707194002e-06,8.460292519885115e-06,7.967763849592302e-06,0
1,26,2.1128927983227186e-05,3.082963075939915e-07,6.915481208125129e-06,7.807162546669133e-06,6.600639608222991e-06,0
1,27,2.1129229935468175e-05,2.4543251697650703e-07,7.135967734939186e-06,7.814885066181887e-06,5.836385298607638e-06,0
1,28,2.1129229935468175e-05,4.806616971109179e-07,4.362683284853119e-06,6.539889454870718e-06,5.8748546507558785e-06,0
1,29,2.6368245016783476e-05,3.6290435900809825e-07,7.166054729168536e-06,8.330212040164042e-06,6.938069873285713e-06,0
1,30,2.6368998078396544e-05,4.4545771515913657e-07,7.565305168100167e-06,1.022186188492924e-05,8.690071808814537e-06,0
1,31,2.6368998078396544e-05,3.942593309602671e-07,8.015393177629448e-06,1.1014471056114417e-05,9.473490536038298e-06,0
1,32,4.239968620822765e-05,1.432471066209473e-07,4.1654207052488346e-06,9.296943062508944e-06,1.0737479897215962e-05,0
1,33,4.2402429244248196e-05,1.7874604907319736e-07,9.616186616767664e-06,1.314375640504295e-05,1.1973280379606877e-05,0
1,34,8.721975609660149e-05,5.405757974585867e-07,1.187104317068588e-05,1.6434907593065873e-05,1.7683320038486272e-05,0
1,35,8.721429185243323e-05,4.418369883296691e-07,1.213410996570019e-05,2.1618672690237872e-05,2.570515061961487e-05,0
1,36,8.721495396457613e-05,6.524701916532649e-07,8.90826322574867e-06,1.745457666402217e-05,2.2643213014816865e-05,0
1,37,8.721495396457613e-05,8.196558383133379e-07,1.4709811694046948e-05,2.711940396693535e-05,2.835171835613437e-05,0
1,38,8.721495396457613e-05,2.098574441333767e-06,3.503842162899673e-05,4.30764994234778e-05,2.8385682526277378e-05,0
1,39,8.721495396457613e-05,2.1652442683262052e-07,4.0298240492120385e-05,4.4993761548539624e-05,3.155644299113192e-05,0
1,40,9.436084656044841e-05,7.220258453344286e-07,1.898028676805552e-05,3.402458969503641e-05,3.129226388409734e-05,0
1,41,9.436111577088013e-05,3.640959107542585e-07,2.2329031708068214e-05,3.4718821552814916e-05,3.09872193611227e-05,0
1,42,0.00011624933540588245,6.237343086468172e-07,1.5091854947968386e-05,2.9499842639779672e-05,3.390003621461801e-05,0
1,43,0.00011626062769209966,1.7572914430274977e-06,2.153442255803384e-05,3.755988655029796e-05,3.49846959579736e-05,0
1,44,0.00011624933540588245,2.564564510976197e-06,4.714552778750658e-05,5.206079367781058e-05,3.5163080610800534e-05,0
1,45,0.00011624933540588245,8.487625535735788e-08,4.222285497235134e-05,5.126028918311931e-05,4.1089137084782124e-05,0
1,46,0.00012271320156287402,6.588281280528463e-07,6.457369454437867e-05,6.29066998953931e-05,4.481899304664694e-05,0
1,47,0.00012271075684111565,2.753739181571291e-06,6.038186984369531e-05,6.158173346193507e-05,3.952972110710107e-05,0
1,48,0.00012723130930680782,3.6114619206273346e-07,4.498962880461477e-05,5.4831809393363073e-05,4.3804040615214035e-05,0
1,49,0.00012723062536679208,8.974807315098587e-07,1.5516170606133528e-05,4.61495692434255e-05,4.4258256821194664e-05,0
1,50,0.00012722142855636775,3.033247594430577e-06,3.8090387533884495e-05,4.8884099669521675e-05,4.020597771159373e-05,0
1,51,0.00014186017506290227,7.629585070390021e-07,3.521921826177277e-05,4.935198012390174e-05,4.073672243976034e-05,0
1,52,0.00015068682841956615,8.340515478266752e-07,2.786812183330767e-05,4.5790144213242456e-05,4.5866949221817777e-05,0
1,53,0.00015068682841956615,9.366598874294141e-07,3.141913111903705e-05,4.860450644628145e-05,4.694858216680586e-05,0
1,54,0.00017689037485979497,7.570167781523196e-07,5.564903040067293e-05,6.912394019309431e-05,5.337650145520456e-05,0
1,55,0.0001769016234902665,1.187611928799015e-06,3.0487575713777915e-05,5.2643117669504136e-05,5.0436130550224334e-05,0
1,56,0.00018088392971549183,2.3962348905115505e-07,5.385128679336049e-05,6.282919639488682e-05,5.7835910411085933e-05,0
1,57,0.00023155566304922104,1.405275156685093e-06,3.7294241337804124e-05,6.221934745553881e-05,6.410860078176484e-05,0
1,58,0.00023155566304922104,3.1319430036091944e-06,3.516172000672668e-05,6.228801794350147e-05,6.800116534577683e-05,0
1,59,0.00023155566304922104,3.816925868704857e-07,4.1098930523730814e-05,6.347177259158343e-05,6.957513687666506e-05,0
1,60,0.00023155566304922104,2.434707084830734e-07,3.814992669504136e-05,6.499188748421147e-05,7.611577893840149e-05,0
1,61,0.00023155566304922104,1.4902943803463131e-06,3.636527981143445e-05,8.535052620572969e-05,8.923767018131912e-05,0
1,62,0.0002699373580981046,1.1959247103732196e-06,8.290957339340821e-05,0.00011196498235221952,9.53255221247673e-05,0
1,63,0.0002699655306059867,7.553230148005241e-07,3.319228926557116e-05,7.348863437073305e-05,8.37734987726435e-05,0
1,64,0.000269946176558733,2.8380884486978175e-07,3.4193031751783565e-05,7.870527770137414e-05,9.161709022009745e-05,0
1,65,0.000269977463176474,8.435997642664006e-07,4.008206815342419e-05,7.451935380231589e-05,8.427874854533002e-05,0
1,66,0.000269977463176474,6.103103373789054e-07,3.233658571843989e-05,7.365793135249987e-05,8.944587898440659e-05,0
1,67,0.00043640611693263054,7.033278279777733e-07,3.4202548704342917e-05,8.086937305051833e-05,0.00011028363951481879,0
1,68,0.00043643295066431165,2.6031764264189405e-06,5.708192111342214e-05,0.00010076146281789988,0.00010855327127501369,0
1,69,0.00043643295066431165,8.347102493644343e-07,2.235584361187648e-05,7.555870251962915e-05,0.0001261743891518563,0
1,70,0.00043643295066431165,6.437372235268413e-07,4.427061867318116e-05,9.080454765353352e-05,0.00012049028009641916,0
1,71,0.00044198057730682194,2.407591352948657e-07,6.576808664249256e-05,0.00012145075743319467,0.00014469181769527495,0
1,72,0.0004419889592099935,1.0047518799183308e-06,0.0001698134874459356,0.00016738282283768058,0.00014518393436446786,0
1,73,0.00044195257942192256,1.5313959238483221e-06,8.441762474831194e-05,0.0001585388381499797,0.0001523387763882056,0
1,74,0.0004419889592099935,4.895518941339105e-06,0.0001342162722721696,0.0001869619736680761,0.000159071059897542,0
1,75,0.00044195257942192256,4.09248002597451e-07,5.9809302911162376e-05,0.00013919576304033399,0.00015301984967663884,0
1,76,0.0004419889592099935,2.1182504497119226e-06,9.754365601111203e-05,0.00014336714230012149,0.0001409089018125087,0
1,77,0.00044195257942192256,2.666242608029279e-06,0.00010039162589237094,0.0001517973723821342,0.00013719005801249295,0
1,78,0.0004726451588794589,2.0736395356379944e-07,9.209796553477645e-05,0.00014102192653808743,0.00015528284711763263,0
1,79,0.0004726451588794589,6.706513886456378e-07,9.670072904555127e-05,0.0001578761002747342,0.00017415972251910716,0
1,80,0.0004726451588794589,7.563352824035974e-07,0.00011306706437608227,0.00016543421952519566,0.00014322948118206114,0
1,81,0.00047268072376027703,1.0925416518148268e-06,9.272866736864671e-05,0.00014555230154655874,0.00013743039744440466,0
1,82,0.0004726451588794589,5.056069767306326e-07,8.448370499536395e-05,0.0001349591912003234,0.00014593618107028306,0
1,83,0.0004726436163764447,3.803717447681265e-07,7.910787826403975e-05,0.00016738995327614248,0.00017853027384262532,0
1,84,0.0004726436163764447,1.133642285822134e-06,8.729949331609532e-05,0.00016510453133378178,0.00017442335956729949,0
1,85,0.0004726451588794589,9.329210683972633e-07,0.0001338440488325432,0.00015698107017669827,0.00015379584510810673,0
1,86,0.0004726451588794589,8.943734428612515e-07,5.983360460959375e-05,0.00013826688518747687,0.00015221584180835634,0
1,87,0.0004726451588794589,3.49761285178829e-06,6.729542656103149e-05,0.0001363543124170974,0.0001577214861754328,0
1,88,0.0005017101066187024,3.0399232855415903e-06,8.267232624348253e-05,0.00015648637781850994,0.00016915620653890073,0
1,89,0.0005017101066187024,6.81115238876373e-07,7.249249756569043e-05,0.0001577607326908037,0.0001602013362571597,0
